relative_path,filename,extension,size_bytes,kind,family
firmware/v2-v3/combined-firmware/5.1.0/Full_Survey_Cartographer_CAN_1M_5_1_0.bin,Full_Survey_Cartographer_CAN_1M_5_1_0.bin,.bin,29980,firmware_binary,v2-v3
firmware/v2-v3/combined-firmware/5.1.0/Full_Survey_Cartographer_CrealityK1_USB_5_1_0.bin,Full_Survey_Cartographer_CrealityK1_USB_5_1_0.bin,.bin,30624,firmware_binary,v2-v3
firmware/v2-v3/combined-firmware/5.1.0/Full_Survey_Cartographer_USB_5_1_0.bin,Full_Survey_Cartographer_USB_5_1_0.bin,.bin,30624,firmware_binary,v2-v3
firmware/v2-v3/combined-firmware/6.1.0/Katapult_plus_CartographerV3_6.1.0_CAN_1M.bin,Katapult_plus_CartographerV3_6.1.0_CAN_1M.bin,.bin,29220,firmware_binary,v2-v3
firmware/v2-v3/combined-firmware/6.1.0/Katapult_plus_CartographerV3_6.1.0_CAN_1M_lite.bin,Katapult_plus_CartographerV3_6.1.0_CAN_1M_lite.bin,.bin,29224,firmware_binary,v2-v3
firmware/v2-v3/combined-firmware/6.1.0/Katapult_plus_CartographerV3_6.1.0_CAN_250K.bin,Katapult_plus_CartographerV3_6.1.0_CAN_250K.bin,.bin,29224,firmware_binary,v2-v3
firmware/v2-v3/combined-firmware/6.1.0/Katapult_plus_CartographerV3_6.1.0_CAN_250K_lite.bin,Katapult_plus_CartographerV3_6.1.0_CAN_250K_lite.bin,.bin,29224,firmware_binary,v2-v3
firmware/v2-v3/combined-firmware/6.1.0/Katapult_plus_CartographerV3_6.1.0_CAN_500K.bin,Katapult_plus_CartographerV3_6.1.0_CAN_500K.bin,.bin,29220,firmware_binary,v2-v3
firmware/v2-v3/combined-firmware/6.1.0/Katapult_plus_CartographerV3_6.1.0_CAN_500K_lite.bin,Katapult_plus_CartographerV3_6.1.0_CAN_500K_lite.bin,.bin,29224,firmware_binary,v2-v3
firmware/v2-v3/combined-firmware/6.1.0/Katapult_plus_CartographerV3_6.1.0_USB.bin,Katapult_plus_CartographerV3_6.1.0_USB.bin,.bin,29288,firmware_binary,v2-v3
firmware/v2-v3/combined-firmware/6.1.0/Katapult_plus_CartographerV3_6.1.0_USB_lite.bin,Katapult_plus_CartographerV3_6.1.0_USB_lite.bin,.bin,29308,firmware_binary,v2-v3
firmware/v2-v3/katapult-deployer/README.txt,README.txt,.txt,161,other,v2-v3
firmware/v2-v3/katapult-deployer/katapult-deployer-1m.bin,katapult-deployer-1m.bin,.bin,5984,firmware_binary,v2-v3
firmware/v2-v3/katapult-deployer/katapult-deployer-250k.bin,katapult-deployer-250k.bin,.bin,5984,firmware_binary,v2-v3
firmware/v2-v3/katapult-deployer/katapult-deployer-500k.bin,katapult-deployer-500k.bin,.bin,5984,firmware_binary,v2-v3
firmware/v2-v3/katapult-deployer/katapult-deployer-usb.bin,katapult-deployer-usb.bin,.bin,6200,firmware_binary,v2-v3
firmware/v2-v3/survey/5.0.0/Survey_Cartographer_CAN_1000000_8kib_offset.bin,Survey_Cartographer_CAN_1000000_8kib_offset.bin,.bin,19824,firmware_binary,v2-v3
firmware/v2-v3/survey/5.0.0/Survey_Cartographer_CAN_250000_8kib_offset.bin,Survey_Cartographer_CAN_250000_8kib_offset.bin,.bin,19824,firmware_binary,v2-v3
firmware/v2-v3/survey/5.0.0/Survey_Cartographer_CAN_500000_8kib_offset.bin,Survey_Cartographer_CAN_500000_8kib_offset.bin,.bin,19824,firmware_binary,v2-v3
